District,City,Latitude,Longitude,Price,PriceMillionPerM2,Size,LandType,Width,Length,Legalty,Ward
712,72,11.025244,106.39089,480000000,3.84,125.0,1,6.0,21.0,1.0,25732
805,80,10.530617,106.55251,900000000,2.5714285,350.0,1,10.0,35.0,1.0,28093
697,70,11.455277,106.71167,790000000,4.3598256,181.1999,1,5.11,35.9,1.0,25450
731,75,10.8738,106.9087,2550000000,15.0,170.0,1,5.0,20.0,1.0,26377
673,68,11.5783,107.758,1750000000,8.536586,205.0,1,,,1.0,24817
761,79,10.860647,106.691895,10200000000,41.632652,245.0,1,7.0,35.0,1.0,26779
783,79,11.060326,106.4347,1300000000,8.333333,156.0,1,7.51,18.8798,1.0,27505
947,94,9.54542,105.917114,600000000,1.0714285,560.0,1,15.0,37.0,1.0,31690
490,48,16.041761,108.16875,2620000000,24.952381,105.0,1,5.0,,1.0,20200
493,48,16.072254,108.237366,7200000000,81.818184,88.0,1,,,1.0,20272
762,79,10.873241,106.732346,3200000000,44.755245,71.5,1,,,1.0,26797
737,75,10.973983,106.95624,1200000000,12.0,100.0,1,,,1.0,26269
732,75,10.918755,107.20163,4300000000,0.71666664,6000.0,4,,,1.0,26104
769,79,10.814708,106.779495,10200000000,65.38461,156.0,2,6.0,26.0,1.0,26848
697,70,11.455277,106.71167,1100000000,4.8651037,226.1,4,9.6,24.0,1.0,25450
754,77,10.5735,107.1541,68000000000,1.4166666,48000.0,4,500.0,,1.0,26728
725,74,10.9568,106.7173,8100000000,15.370019,527.0,1,17.0,33.5998,1.0,25972
742,75,10.6934,106.9533,3500000000,8.684863,403.0,1,15.6,26.0,1.0,26494
916,92,10.040888,105.78102,6900000000,51.8797,133.0,1,7.1999,19.0,1.0,31129
497,48,16.048275,108.01244,2150000000,14.333333,150.0,1,5.0,30.0,1.0,20299
777,79,10.7161,106.6147,3900000000,65.0,60.0,1,4.0,15.0,1.0,27460
725,74,10.957153,106.71757,1700000000,17.894737,95.0,1,4.5,22.0,1.0,25972
725,74,10.92905,106.67899,3400000000,15.111111,225.0,1,5.0,45.0,1.0,25981
750,77,10.705099,107.23118,3550000000,5.035461,705.0,1,12.3,58.0,1.0,26608
761,79,10.855008,106.69787,7500000000,39.473682,190.0,1,5.5,34.0,1.0,26779
762,79,10.886587,106.76827,3500000000,50.0,70.0,1,4.0,19.0,1.0,26794
916,92,10.019313,105.75971,2200000000,35.25641,62.4,1,4.0,15.6,1.0,31147
725,74,10.882947,106.694756,3530000000,11.206349,315.0,1,,,1.0,25990
761,79,10.847845,106.68495,16500000000,30.499075,541.0,1,7.9,68.5,1.0,26779
4,1,21.073374,105.905464,3650000000,91.25,40.0,1,,,1.0,124
785,79,10.6644,106.5718,2290000000,23.854166,96.0,1,7.1999,15.0,1.0,27637
672,68,11.956295,108.433464,420000000,3.36,125.0,1,,,1.0,24781
497,48,16.0452,108.11322,1490000000,14.9,100.0,1,5.0,,1.0,20302
806,80,10.60925,106.50538,1050000000,12.382075,84.8,1,,,1.0,28117
725,74,10.877594,106.699776,7890000000,32.204082,245.0,1,,,1.0,25990
725,74,10.879678,106.71463,4290000000,29.484535,145.5,1,7.0,21.5,1.0,25990
931,93,9.821745,105.82264,1320000000,19.411764,68.0,1,4.0,17.0,1.0,31340
